Index,Longitude,Latitude,Severity,Vehicles Involved,Casualties,Date,Time,Speed Limit,Light Conditions,Weather Conditions,Road Surface Conditions,Urban or Rural,Officer Attended Scene of Accident
201250ED2G008,-4.143029,50.3964,Slight,2,1,04/05/2012,12:49,30,Daylight,Fine,Dry,Urban,Yes
201250ED2G005,-4.14169,50.396676,Slight,3,1,23/02/2012,16:20,30,Daylight,Fine,Dry,Urban,Yes
201250EL2A002,-4.133764,50.396885,Slight,2,1,01/02/2012,17:25,30,Darkness (Lights Lit),Fine,Dry,Urban,No
201250EL2A003,-4.125069,50.396927,Slight,2,1,02/02/2012,16:41,70,Daylight,Fine,Dry,Urban,Yes
201250ED2P004,-4.180118,50.396969,Slight,2,1,18/12/2012,23:25,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2C012,-4.157441,50.397105,Slight,2,1,19/10/2012,09:10,30,Daylight,Fine,Dry,Urban,Yes
201250ED20011,-4.144003,50.397407,Slight,2,1,11/07/2012,08:27,30,Daylight,Fine,Dry,Urban,Yes
201250ED2A009,-4.191441,50.397467,Slight,1,1,26/11/2012,17:30,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2A008,-4.187492,50.397901,Slight,3,1,24/11/2012,22:18,30,Darkness (Lights Lit),Raining + High Winds,Wet / Damp,Urban,Yes
201250ED20008,-4.149177,50.397932,Slight,1,1,16/03/2012,17:45,30,Daylight,Fine,Dry,Urban,No
201250ED2P003,-4.181418,50.397997,Slight,2,1,06/12/2012,21:30,30,Darkness (Lighting Unknown),Fine,Dry,Urban,No
201250EL2F006,-4.112959,50.398614,Slight,2,1,26/08/2012,09:45,30,Daylight,Fine,Dry,Urban,No
201250ED20012,-4.149226,50.398705,Slight,2,1,25/08/2012,13:36,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED20013,-4.151707,50.399118,Serious,2,3,14/08/2012,17:43,30,Daylight,Fine,Dry,Urban,Yes
201250EL2A009,-4.135106,50.399199,Slight,2,1,26/05/2012,14:30,30,Daylight,Fine,Dry,Urban,No
201250EL2E004,-4.128278,50.399441,Slight,2,1,26/06/2012,08:19,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED20010,-4.149501,50.3995,Slight,2,2,29/03/2012,16:59,30,Daylight,Fine,Dry,Urban,Yes
201250ED20004,-4.136286,50.400086,Slight,2,1,01/02/2012,08:18,40,Daylight,Fine + High Winds,Dry,Urban,Yes
201250ED20006,-4.136893,50.400146,Slight,2,1,22/02/2012,10:50,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2G015,-4.135046,50.400378,Slight,2,1,09/12/2012,09:30,70,Daylight,Fine,Dry,Urban,Yes
201250EL2F002,-4.113845,50.400496,Slight,2,1,15/02/2012,16:25,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2D005,-4.183762,50.400922,Serious,1,1,17/06/2012,14:00,30,Daylight,Fine,Dry,Urban,Yes
201250EL2M011,-4.135862,50.400993,Slight,3,3,09/07/2012,14:54,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EL2M004,-4.135624,50.401024,Slight,2,1,14/02/2012,13:20,40,Daylight,Fine,Dry,Urban,Yes
201250ED20001,-4.140579,50.40105,Fatal,1,2,22/01/2012,17:37,70,Darkness (No Lighting),Fine,Dry,Urban,Yes
201250EL2E010,-4.134655,50.401069,Slight,2,1,05/10/2012,15:30,40,Daylight,Raining + High Winds,Wet / Damp,Urban,No
201250ED2D006,-4.185269,50.401253,Serious,2,1,15/07/2012,13:30,30,Daylight,Fine,Dry,Urban,Yes
201250ED2B024,-4.185312,50.401279,Serious,2,3,21/12/2012,08:47,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2A002,-4.191984,50.401621,Slight,1,2,29/02/2012,01:36,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EL2M003,-4.134766,50.401661,Slight,2,1,13/02/2012,16:23,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250EL2M013,-4.139548,50.401905,Slight,3,1,22/08/2012,16:03,30,Daylight,Fine,Dry,Urban,Yes
201250ED2D003,-4.178251,50.402284,Serious,2,2,26/04/2012,15:00,30,Daylight,Fine,Dry,Urban,Yes
201250ED2B006,-4.187432,50.4024,Slight,2,1,03/05/2012,15:45,30,Daylight,Fine,Dry,Urban,No
201250ED2A003,-4.191871,50.402532,Slight,2,1,18/07/2012,17:10,30,Daylight,Fine,Dry,Urban,No
201250EL2E007,-4.1344,50.402585,Slight,2,1,26/08/2012,13:45,40,Daylight,Fine,Dry,Urban,Yes
201250ED2B009,-4.194131,50.402714,Slight,2,1,17/07/2012,22:10,30,Daylight,Unknown,Dry,Urban,No
201250EL2E003,-4.134381,50.402792,Slight,3,1,01/06/2012,16:49,40,Daylight,Fine,Dry,Urban,Yes
201250ED2B010,-4.192316,50.403621,Slight,2,2,01/08/2012,16:30,30,Daylight,Fine,Dry,Urban,Yes
201250EL2M016,-4.151017,50.403772,Slight,2,1,15/09/2012,13:30,30,Daylight,Fine,Dry,Urban,Yes
201250ED2B026,-4.193259,50.403927,Slight,2,1,05/12/2012,06:45,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2C006,-4.157278,50.404042,Slight,2,2,25/04/2012,16:39,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EL2L017,-4.157009,50.404317,Slight,2,1,09/05/2012,15:58,70,Daylight,Raining,Wet / Damp,Urban,Yes
201250EL2E011,-4.127002,50.405203,Slight,1,1,03/12/2012,09:51,30,Daylight,Fine,Dry,Urban,Yes
201250ED2C010,-4.161899,50.406313,Slight,2,1,20/08/2012,10:48,70,Daylight,Fine,Dry,Urban,Yes
201250EL2E009,-4.133822,50.406643,Slight,2,1,28/08/2012,15:07,30,Daylight,Fine,Dry,Urban,No
201250EL2M006,-4.134106,50.406692,Slight,2,2,24/04/2012,14:10,40,Daylight,Fine,Dry,Urban,Yes
201250ED2C009,-4.163889,50.406735,Serious,2,3,20/05/2012,16:37,70,Daylight,Fine,Dry,Urban,Yes
201250ED2C013,-4.163875,50.406744,Slight,2,1,09/11/2012,19:25,70,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2C008,-4.163918,50.406752,Slight,2,1,05/05/2012,18:22,70,Daylight,Fine,Dry,Urban,Yes
201250ED2C014,-4.163834,50.406763,Slight,2,1,14/11/2012,09:00,70,Daylight,Fine,Dry,Urban,Yes
201250ED2C011,-4.163679,50.406766,Slight,2,1,03/10/2012,07:20,70,Daylight,Fine,Dry,Urban,No
201250ED2C002,-4.163849,50.40679,Slight,2,2,26/01/2012,10:27,40,Daylight,Fine,Dry,Urban,Yes
201250EL2E006,-4.13375,50.406923,Slight,2,1,23/07/2012,16:50,30,Daylight,Fine,Dry,Urban,Yes
201250EL2E005,-4.13384,50.407047,Slight,4,3,27/06/2012,19:00,40,Daylight,Fine,Dry,Urban,Yes
201250EL2M009,-4.134146,50.407275,Serious,1,1,29/06/2012,18:39,40,Daylight,Fine,Dry,Urban,Yes
201250EL2E012,-4.132849,50.407542,Slight,1,1,12/12/2012,10:10,30,Daylight,Fine,Wet / Damp,Urban,No
201250EL2E002,-4.132795,50.407597,Slight,2,1,19/02/2012,12:20,30,Daylight,Fine,Dry,Urban,No
201250EL2K003,-4.198476,50.407795,Slight,2,1,26/04/2012,07:38,30,Daylight,Raining,Wet / Damp,Rural,No
201250EL2M017,-4.13404,50.408042,Slight,3,1,17/09/2012,08:00,40,Daylight,Fine,Dry,Urban,Yes
201250JT2R014,-4.13373,50.408048,Slight,2,2,09/09/2012,09:45,40,Daylight,Fine,Dry,Urban,Yes
201250ED2B018,-4.18337,50.408332,Serious,2,1,28/09/2012,18:36,30,Daylight,Fine,Dry,Urban,Yes
201250ED2D004,-4.173301,50.408817,Serious,2,1,15/05/2012,18:25,30,Daylight,Fine,Dry,Urban,Yes
201250EL2L038,-4.156022,50.408923,Slight,1,1,10/12/2012,16:53,30,Darkness (Lights Lit),Fine,Frost / Ice,Urban,Yes
201250EL2L034,-4.156093,50.40893,Slight,2,1,29/10/2012,09:40,30,Daylight,Raining,Wet / Damp,Urban,No
201250EL2H005,-4.132241,50.409055,Slight,2,1,23/05/2012,17:07,40,Daylight,Raining,Dry,Urban,Yes
201250EL2M021,-4.134294,50.409323,Slight,2,2,18/09/2012,14:00,40,Daylight,Fine,Dry,Urban,No
201250EL2H006,-4.132784,50.409549,Slight,2,1,02/08/2012,13:55,30,Daylight,Fine,Dry,Urban,Yes
201250EL2H003,-4.132703,50.409623,Serious,1,1,31/03/2012,05:50,40,Daylight,Fine,Dry,Urban,Yes
201250ED2D001,-4.16999,50.409661,Slight,2,2,16/01/2012,18:43,70,Darkness (No Lighting),Fine,Wet / Damp,Urban,Yes
201250EL2M001,-4.138547,50.409686,Slight,2,1,27/01/2012,16:40,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EL2H002,-4.130866,50.409773,Slight,1,1,18/02/2012,21:55,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2B025,-4.180611,50.409858,Slight,2,1,21/12/2012,10:00,30,Daylight,Fine,Dry,Urban,Yes
201250EL2L012,-4.146635,50.40987,Slight,2,1,30/03/2012,16:21,30,Daylight,Fine,Dry,Urban,Yes
