Index,Longitude,Latitude,Severity,Vehicles Involved,Casualties,Date,Time,Speed Limit,Light Conditions,Weather Conditions,Road Surface Conditions,Urban or Rural,Officer Attended Scene of Accident
201250ED2N050,-4.158099,50.375955,Slight,1,2,27/12/2012,19:00,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,No
201250ED2N009,-4.160097,50.375972,Slight,1,1,15/03/2012,12:55,30,Daylight,Fine,Dry,Urban,Yes
201250EC2C001,-4.127583,50.376077,Slight,2,1,20/09/2012,16:00,30,Daylight,Fine,Dry,Urban,Yes
201250EC2D008,-4.146222,50.376139,Slight,2,1,29/02/2012,14:05,30,Daylight,Unknown,Dry,Urban,Yes
201250BT2D005,-4.196415,50.376308,Slight,1,1,16/05/2012,09:10,30,Daylight,Fine,Dry,Rural,Yes
201250ED2N029,-4.156782,50.376375,Slight,1,1,18/09/2012,16:10,30,Daylight,Fine,Dry,Urban,Yes
201250EC2A006,-4.115798,50.376427,Slight,2,1,30/04/2012,15:50,30,Daylight,Fine,Dry,Urban,Yes
201250ED2L007,-4.179085,50.376589,Slight,2,1,16/04/2012,07:00,30,Daylight,Fine,Dry,Urban,No
201250EC2H004,-4.130627,50.376831,Slight,2,1,13/02/2012,14:10,30,Daylight,Fine,Dry,Urban,Yes
201250EC2H016,-4.136088,50.37691,Slight,1,1,09/07/2012,13:00,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2N036,-4.147345,50.377324,Slight,2,1,10/10/2012,20:33,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2N001,-4.147654,50.377327,Slight,2,1,14/01/2012,11:23,30,Daylight,Fine,Dry,Urban,Yes
201250EC2H013,-4.138964,50.377379,Serious,2,1,05/06/2012,14:25,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2N024,-4.147145,50.37757,Slight,2,1,12/08/2012,17:45,30,Daylight,Fine,Dry,Urban,Yes
201250ED2N039,-4.147373,50.377629,Slight,2,1,25/10/2012,20:05,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2N004,-4.147627,50.377651,Slight,2,1,02/02/2012,14:10,30,Daylight,Fine,Dry,Urban,No
201250ED2L009,-4.176086,50.377752,Slight,1,1,30/04/2012,16:49,30,Daylight,Fine,Dry,Urban,Yes
201250EC2H032,-4.130739,50.377755,Slight,1,1,11/10/2012,10:15,30,Daylight,Other Weather,Wet / Damp,Urban,Yes
201250ED2N037,-4.14707,50.377787,Slight,1,1,21/10/2012,03:59,30,Darkness (Lights Unlit),Unknown,Dry,Urban,Yes
201250EC2H041,-4.135377,50.377994,Serious,2,1,07/12/2012,00:27,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250EC2H038,-4.135735,50.378131,Slight,1,2,15/11/2012,17:30,30,Daylight,Fine,Dry,Urban,No
201250EC2H042,-4.135384,50.378155,Slight,1,1,13/12/2012,17:45,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EC2H006,-4.135399,50.378173,Slight,1,1,09/03/2012,08:05,30,Daylight,Fine,Dry,Urban,No
201250EC2A001,-4.119425,50.378277,Slight,1,1,07/01/2012,15:01,30,Daylight,Fine,Dry,Urban,No
201250ED2N040,-4.167952,50.378281,Slight,2,2,10/10/2012,08:58,30,Daylight,Fine,Dry,Urban,Yes
201250ED2M004,-4.177565,50.378416,Slight,2,2,06/03/2012,17:24,30,Daylight,Fine,Dry,Urban,Yes
201250ED2M001,-4.177566,50.378434,Slight,2,1,27/01/2012,14:40,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EC2H026,-4.130985,50.378551,Slight,2,1,15/09/2012,12:15,30,Daylight,Fine,Dry,Urban,Yes
201250EC2A017,-4.121282,50.378584,Serious,2,1,21/09/2012,18:00,30,Daylight,Fine,Dry,Urban,Yes
201250EC2H040,-4.134885,50.378614,Slight,2,1,24/11/2012,23:45,30,Darkness (Lights Lit),Fine + High Winds,Wet / Damp,Urban,Yes
201250EC2A024,-4.11497,50.378663,Slight,1,1,17/12/2012,15:33,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2M013,-4.174278,50.378802,Slight,1,1,24/08/2012,18:52,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2M014,-4.173956,50.378853,Serious,2,1,27/09/2012,18:20,30,Daylight,Fine,Dry,Urban,Yes
201250ED2N041,-4.157239,50.379947,Slight,1,1,31/10/2012,13:16,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250EC2H015,-4.133506,50.380187,Slight,2,1,21/06/2012,18:23,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EC2G008,-4.133345,50.380343,Slight,2,1,16/04/2012,15:00,30,Daylight,Fine,Dry,Urban,No
201250EL2D022,-4.122782,50.380383,Serious,5,2,17/11/2012,19:30,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2M016,-4.173052,50.380597,Slight,2,1,28/11/2012,15:44,30,Daylight,Fine,Dry,Urban,Yes
201250EL2Y008,-4.13222,50.380678,Slight,1,1,12/12/2012,17:05,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2N031,-4.166334,50.380731,Slight,2,1,22/09/2012,17:55,30,Daylight,Fine,Dry,Urban,No
201250EL2D015,-4.113686,50.380792,Slight,1,1,16/08/2012,15:55,30,Daylight,Fine,Dry,Urban,No
201250EL2D013,-4.118065,50.380901,Slight,1,2,20/06/2012,15:20,30,Daylight,Fine,Dry,Urban,No
201250EL2Y007,-4.12628,50.381219,Serious,1,2,30/11/2012,21:06,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,Yes
201250ED2K003,-4.180032,50.381284,Slight,2,1,19/03/2012,17:48,30,Daylight,Fine,Dry,Urban,Yes
201250EC2G011,-4.13369,50.381461,Slight,3,2,08/06/2012,10:01,30,Daylight,Fine + High Winds,Dry,Urban,Yes
201250EL2D003,-4.124626,50.381654,Slight,1,1,02/02/2012,10:50,30,Daylight,Fine,Frost / Ice,Urban,Yes
201250EL2D020,-4.12429,50.381687,Serious,1,1,11/10/2012,17:00,30,Daylight,Unknown,Dry,Urban,No
201250EL2Y004,-4.129748,50.381695,Fatal,1,2,06/11/2012,06:57,30,Daylight,Fine,Dry,Urban,Yes
201250ED2K011,-4.18008,50.381715,Slight,2,1,09/09/2012,13:00,30,Daylight,Fine,Dry,Urban,Yes
201250EL2D010,-4.124701,50.38176,Slight,2,1,19/05/2012,18:25,30,Daylight,Fine,Dry,Urban,Yes
201250EL2D021,-4.121048,50.381854,Slight,2,1,15/10/2012,08:44,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2M006,-4.178653,50.381886,Slight,2,1,30/03/2012,17:00,30,Daylight,Fine,Dry,Urban,No
201250EC2G005,-4.133697,50.381928,Slight,1,1,04/02/2012,21:45,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2M007,-4.174295,50.381941,Slight,3,1,08/04/2012,21:05,30,Daylight,Fine,Dry,Urban,No
201250EL2D009,-4.120616,50.381961,Slight,1,1,13/05/2012,06:40,30,Daylight,Fine,Dry,Urban,No
201250EL2Y006,-4.125753,50.382011,Slight,1,1,07/11/2012,11:41,30,Daylight,Fine,Dry,Urban,Yes
201250EL2D024,-4.119216,50.382103,Slight,1,2,01/12/2012,02:15,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EC2G003,-4.135163,50.382315,Slight,1,1,27/01/2012,21:17,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EL2A007,-4.118714,50.382508,Slight,2,3,10/05/2012,13:56,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EC2G004,-4.13412,50.382577,Slight,2,1,06/02/2012,06:55,30,Daylight,Fine,Dry,Urban,Yes
201250EC2H007,-4.137505,50.382767,Slight,3,2,14/03/2012,15:35,30,Daylight,Fine,Dry,Urban,Yes
201250ED2N049,-4.153928,50.382931,Slight,1,1,15/12/2012,04:18,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,Yes
201250EC2G016,-4.13197,50.38294,Slight,2,1,10/09/2012,12:04,30,Daylight,Fine,Dry,Urban,Yes
201250EC2H003,-4.138976,50.382946,Serious,2,1,02/02/2012,17:40,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EL2D019,-4.116654,50.383013,Slight,2,1,08/10/2012,16:20,30,Daylight,Fine,Dry,Urban,Yes
201250EC2G014,-4.134262,50.383231,Slight,2,1,02/09/2012,21:10,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EL2D006,-4.112627,50.383239,Slight,2,1,29/03/2012,18:48,30,Daylight,Fine,Dry,Urban,Yes
201250ED2I010,-4.169004,50.383452,Slight,2,1,30/05/2012,18:00,30,Daylight,Fine,Dry,Urban,No
